,sale_date,item_name,item_tags,item_price,item_quantity,store_location,customer_gender,customer_age,customer_email,customer_satisfaction,coupon_used,purchase_method
0,2015-03-23 21:06:49.506,"['printer paper', 'notepad', 'pens', 'backpack', 'notepad', 'envelopes', 'envelopes', 'binder']","[['office', 'stationary'], ['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary'], ['school', 'travel', 'kids'], ['office', 'writing', 'school'], ['stationary', 'office', 'general'], ['stationary', 'office', 'general'], ['school', 'general', 'organization']]","[Decimal128('40.01'), Decimal128('35.29'), Decimal128('56.12'), Decimal128('77.71'), Decimal128('18.47'), Decimal128('19.95'), Decimal128('8.08'), Decimal128('14.16')]","[2, 2, 5, 2, 2, 8, 3, 3]",Denver,M,42,cauho@witwuta.sv,4,True,Online
1,2015-08-25 10:01:02.918,"['envelopes', 'binder', 'notepad', 'laptop', 'notepad', 'printer paper', 'backpack', 'pens', 'envelopes']","[['stationary', 'office', 'general'], ['school', 'general', 'organization'], ['office', 'writing', 'school'], ['electronics', 'school', 'office'], ['office', 'writing', 'school'], ['office', 'stationary'], ['school', 'travel', 'kids'], ['writing', 'office', 'school', 'stationary'], ['stationary', 'office', 'general']]","[Decimal128('8.05'), Decimal128('28.31'), Decimal128('20.95'), Decimal128('866.5'), Decimal128('33.09'), Decimal128('37.55'), Decimal128('83.28'), Decimal128('42.9'), Decimal128('16.68')]","[10, 9, 3, 4, 4, 1, 2, 4, 2]",Seattle,M,50,keecade@hem.uy,5,False,Phone
2,2017-06-22 09:54:14.185,"['notepad', 'binder', 'notepad', 'pens', 'printer paper', 'pens', 'notepad', 'backpack', 'laptop']","[['office', 'writing', 'school'], ['school', 'general', 'organization'], ['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary'], ['office', 'stationary'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school'], ['school', 'travel', 'kids'], ['electronics', 'school', 'office']]","[Decimal128('30.08'), Decimal128('24.68'), Decimal128('32.1'), Decimal128('31.41'), Decimal128('43.56'), Decimal128('68.95'), Decimal128('8.57'), Decimal128('106.6'), Decimal128('596.33')]","[1, 7, 4, 3, 3, 4, 4, 2, 4]",Denver,M,51,worbiduh@vowbu.cg,5,False,In store
3,2015-02-23 09:53:59.343,"['binder', 'pens', 'backpack', 'printer paper', 'notepad', 'notepad', 'pens', 'binder', 'notepad']","[['school', 'general', 'organization'], ['writing', 'office', 'school', 'stationary'], ['school', 'travel', 'kids'], ['office', 'stationary'], ['office', 'writing', 'school'], ['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary'], ['school', 'general', 'organization'], ['office', 'writing', 'school']]","[Decimal128('20.08'), Decimal128('23.08'), Decimal128('82.73'), Decimal128('15.98'), Decimal128('27.24'), Decimal128('27.7'), Decimal128('59.86'), Decimal128('27.33'), Decimal128('13.59')]","[1, 4, 2, 3, 4, 5, 5, 9, 1]",Seattle,F,45,vatires@ta.pe,3,False,In store
4,2017-12-03 18:39:48.253,"['backpack', 'notepad', 'binder', 'pens', 'notepad', 'envelopes', 'laptop']","[['school', 'travel', 'kids'], ['office', 'writing', 'school'], ['school', 'general', 'organization'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school'], ['stationary', 'office', 'general'], ['electronics', 'school', 'office']]","[Decimal128('127.59'), Decimal128('17.6'), Decimal128('18.67'), Decimal128('60.56'), Decimal128('28.41'), Decimal128('15.28'), Decimal128('1259.02')]","[3, 4, 2, 3, 1, 7, 3]",London,M,40,dotzu@ib.sh,4,False,In store
5,2015-09-02 16:11:59.565,"['binder', 'binder']","[['school', 'general', 'organization'], ['school', 'general', 'organization']]","[Decimal128('13.44'), Decimal128('16.66')]","[8, 10]",London,M,44,owtar@pu.cd,2,False,In store
6,2014-11-11 02:13:51.893,"['laptop', 'binder', 'binder', 'backpack', 'notepad', 'printer paper', 'pens', 'notepad', 'pens', 'notepad']","[['electronics', 'school', 'office'], ['school', 'general', 'organization'], ['school', 'general', 'organization'], ['school', 'travel', 'kids'], ['office', 'writing', 'school'], ['office', 'stationary'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school']]","[Decimal128('604.12'), Decimal128('11.05'), Decimal128('20.94'), Decimal128('61.16'), Decimal128('29.81'), Decimal128('31.19'), Decimal128('47.12'), Decimal128('36.71'), Decimal128('69.28'), Decimal128('14.05')]","[4, 7, 5, 5, 3, 5, 1, 2, 3, 1]",London,F,40,pan@cak.zm,5,False,In store
7,2014-03-31 16:02:06.624,"['envelopes', 'notepad', 'notepad', 'backpack', 'envelopes', 'pens', 'binder', 'laptop', 'printer paper', 'binder']","[['stationary', 'office', 'general'], ['office', 'writing', 'school'], ['office', 'writing', 'school'], ['school', 'travel', 'kids'], ['stationary', 'office', 'general'], ['writing', 'office', 'school', 'stationary'], ['school', 'general', 'organization'], ['electronics', 'school', 'office'], ['office', 'stationary'], ['school', 'general', 'organization']]","[Decimal128('21.95'), Decimal128('5.45'), Decimal128('8.27'), Decimal128('87.13'), Decimal128('11.79'), Decimal128('42.7'), Decimal128('23.71'), Decimal128('584.56'), Decimal128('46.71'), Decimal128('21.22')]","[8, 5, 4, 2, 9, 4, 10, 5, 7, 10]",Austin,M,71,man@bob.mz,3,False,Online
8,2017-03-21 01:54:26.657,"['envelopes', 'notepad', 'laptop', 'notepad', 'binder', 'envelopes', 'pens', 'binder']","[['stationary', 'office', 'general'], ['office', 'writing', 'school'], ['electronics', 'school', 'office'], ['office', 'writing', 'school'], ['school', 'general', 'organization'], ['stationary', 'office', 'general'], ['writing', 'office', 'school', 'stationary'], ['school', 'general', 'organization']]","[Decimal128('16.97'), Decimal128('11.92'), Decimal128('565.42'), Decimal128('12.83'), Decimal128('11.82'), Decimal128('24.57'), Decimal128('36.13'), Decimal128('14.44')]","[7, 5, 4, 3, 8, 5, 5, 9]",New York,M,26,rapifoozi@viupoen.bb,5,True,In store
9,2014-08-18 04:37:26.849,"['pens', 'laptop', 'notepad', 'notepad', 'binder', 'binder', 'notepad', 'pens']","[['writing', 'office', 'school', 'stationary'], ['electronics', 'school', 'office'], ['office', 'writing', 'school'], ['office', 'writing', 'school'], ['school', 'general', 'organization'], ['school', 'general', 'organization'], ['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary']]","[Decimal128('26.64'), Decimal128('1217.84'), Decimal128('19.45'), Decimal128('22.33'), Decimal128('16.7'), Decimal128('22.77'), Decimal128('21.36'), Decimal128('69.88')]","[2, 1, 2, 4, 7, 9, 4, 2]",Denver,M,57,ohaguwu@nufub.gi,3,False,In store
